posicion,nombre,edad,puntos,pais,enlace,id,altura,fecha_nacimiento,peso,lugar_nacimiento,derecha,reves
898,Nitin Kumar Sinha,24,18,IND,/es/players/nitin-kumar-sinha/sy50/overview,sy50,178cm,1999.02.20,68Kg,,Diestro,Dos Manos
897,Taisei Ichikawa,22,18,JPN,/es/players/taisei-ichikawa/i0a6/overview,i0a6,180cm,2000.12.21,70Kg,,Zurdo,Dos Manos
896,Pavel Nejedly,30,18,CZE,/es/players/pavel-nejedly/n824/overview,n824,178cm,1993.02.13,73Kg,,Diestro,Desconocido
890,Juan Carlos Manuel Aguilar,24,18,CAN,/es/players/juan-carlos-manuel-aguilar/a09w/overview,a09w,168cm,1998.11.20,66Kg,,Diestro,Dos Manos
888,Alan Fernando Rubio Fierros,24,18,MEX,/es/players/alan-fernando-rubio-fierros/rh88/overview,rh88,175cm,1999.02.03,75Kg,,Diestro,Dos Manos
886,Tomas Lipovsek Puches,30,18,ARG,/es/players/tomas-lipovsek-puches/lc58/overview,lc58,183cm,1993.04.17,75Kg,,Diestro,Dos Manos
885,Iliyan Radulov,18,18,BUL,/es/players/iliyan-radulov/r0il/overview,r0il,187cm,2005.06.11,33Kg,,Diestro,Dos Manos
884,Learner Tien,17,18,USA,/es/players/learner-tien/t0ha/overview,t0ha,180cm,2005.12.02,73Kg,,Zurdo,Dos Manos
883,Nicolae Frunza,25,18,ROU,/es/players/nicolae-frunza/f952/overview,f952,185cm,1997.11.15,78Kg,,Diestro,Una Mano
882,Zhe Li,36,18,CHN,/es/players/zhe-li/l733/overview,l733,183cm,1986.09.20,81Kg,"TianJin, China",Diestro,Dos Manos
880,Gabriele Maria Noce,27,19,ITA,/es/players/gabriele-maria-noce/n724/overview,n724,178cm,1995.10.29,83Kg,,Diestro,Dos Manos
879,Calin Manda,25,19,ROU,/es/players/calin-manda/mo35/overview,mo35,185cm,1998.04.03,83Kg,,Diestro,Dos Manos
877,Pedja Krstin,28,19,SRB,/es/players/pedja-krstin/kd70/overview,kd70,183cm,1994.09.03,80Kg,"Mokrin, Serbia",Diestro,Dos Manos
874,Andrea Bacaloni,21,19,ITA,/es/players/andrea-bacaloni/b0q9/overview,b0q9,178cm,2002.04.03,80Kg,,Diestro,Dos Manos
873,Alexandr Binda,21,19,ITA,/es/players/alexandr-binda/b0gi/overview,b0gi,175cm,2001.09.22,67Kg,,Diestro,Dos Manos
872,Oleksandr Bielinskyi,29,19,UKR,/es/players/oleksandr-bielinskyi/b09k/overview,b09k,185cm,1994.05.01,80Kg,,Diestro,Desconocido
870,Maciej Rajski,32,19,POL,/es/players/maciej-rajski/ra43/overview,ra43,193cm,1991.05.03,80Kg,,Diestro,Dos Manos
869,Koki Matsuda,22,19,JPN,/es/players/koki-matsuda/m0sb/overview,m0sb,183cm,2000.10.31,73Kg,,Diestro,Dos Manos
868,Nicola Kuhn,23,19,GER,/es/players/nicola-kuhn/ki74/overview,ki74,185cm,2000.03.20,80Kg,"Innsbruck, Austria",Diestro,Dos Manos
867,Andrea Basso,29,19,ITA,/es/players/andrea-basso/bh80/overview,bh80,185cm,1993.10.08,72Kg,"Genova, Italy",Zurdo,Dos Manos
865,Adam Neff,22,19,USA,/es/players/adam-neff/n0be/overview,n0be,183cm,2001.05.30,88Kg,,Diestro,Dos Manos
863,Moerani Bouzige,23,20,AUS,/es/players/moerani-bouzige/b0ek/overview,b0ek,180cm,1999.07.13,80Kg,,Diestro,Dos Manos
