posicion,nombre,edad,puntos,pais,enlace,id,altura,fecha_nacimiento,peso,lugar_nacimiento,derecha,reves
518,Jakub Paul,24,71,SUI,/es/players/jakub-paul/p0d0/overview,p0d0,180cm,1999.03.22,73Kg,,Diestro,Dos Manos
517,Ramkumar Ramanathan,28,71,IND,/es/players/ramkumar-ramanathan/rb56/overview,rb56,188cm,1994.11.08,81Kg,"Chennai, India",Diestro,Dos Manos
516,Sam Riffice,24,71,USA,/es/players/sam-riffice/r0a5/overview,r0a5,188cm,1999.03.01,77Kg,,Diestro,Dos Manos
515,Fajing Sun,26,72,CHN,/es/players/fajing-sun/sx90/overview,sx90,178cm,1996.10.03,75Kg,"Shan Xi, China",Diestro,Dos Manos
513,Constantin Bittoun Kouzmine,24,73,FRA,/es/players/constantin-bittoun-kouzmine/bu53/overview,bu53,178cm,1999.01.04,73Kg,,Zurdo,Dos Manos
512,Tim Handel,26,73,GER,/es/players/tim-handel/h0eh/overview,h0eh,188cm,1996.10.18,83Kg,,Diestro,Una Mano
511,Martin Damm,19,73,USA,/es/players/martin-damm-/d0dt/overview,d0dt,203cm,2003.09.30,95Kg,,Zurdo,Dos Manos
510,Toby Alex Kodat,20,73,USA,/es/players/toby-alex-kodat/k0eu/overview,k0eu,178cm,2003.01.13,73Kg,,Diestro,Una Mano
509,Shinji Hazawa,24,74,JPN,/es/players/shinji-hazawa/h0ba/overview,h0ba,175cm,1999.04.12,73Kg,,Diestro,Dos Manos
508,Tristan Boyer,22,74,USA,/es/players/tristan-boyer/b0ej/overview,b0ej,185cm,2001.04.21,86Kg,,Diestro,Dos Manos
506,Ilya Snitari,21,75,MDA,/es/players/ilya-snitari/s0r5/overview,s0r5,188cm,2002.03.20,80Kg,,Diestro,Dos Manos
505,Giles Hussey,26,75,GBR,/es/players/giles-hussey/h0dc/overview,h0dc,185cm,1997.05.26,75Kg,,Zurdo,Dos Manos
504,Khumoun Sultanov,24,75,UZB,/es/players/khumoun-sultanov/sr81/overview,sr81,180cm,1998.10.27,80Kg,,Diestro,Dos Manos
503,Jose Pereira,32,75,BRA,/es/players/jose-pereira/pc09/overview,pc09,180cm,1991.01.26,74Kg,,Diestro,Dos Manos
502,Pierre-Hugues Herbert,32,75,FRA,/es/players/pierre-hugues-herbert/h996/overview,h996,188cm,1991.03.18,75Kg,"Schiltigheim, Francia",Diestro,Dos Manos
501,Kei Nishikori,33,75,JPN,/es/players/kei-nishikori/n552/overview,n552,178cm,1989.12.29,73Kg,"Shimane, Japón",Diestro,Dos Manos
500,Jaimee Floyd Angele,23,76,FRA,/es/players/jaimee-floyd-angele/a0b6/overview,a0b6,206cm,2000.03.27,93Kg,,Diestro,Dos Manos
499,Elmer Moller,19,76,DEN,/es/players/elmer-moller/m0k4/overview,m0k4,183cm,2003.07.09,73Kg,,Diestro,Dos Manos
498,Fausto Tabacco,21,76,ITA,/es/players/fausto-tabacco/t0cu/overview,t0cu,183cm,2002.05.13,80Kg,,Diestro,Dos Manos
496,Gabi Adrian Boitan,23,77,ROU,/es/players/gabi-adrian-boitan/b0c0/overview,b0c0,185cm,1999.07.11,82Kg,,Diestro,Dos Manos
495,Tristan McCormick,24,78,USA,/es/players/tristan-mccormick/m0eg/overview,m0eg,196cm,1999.04.01,93Kg,,Diestro,Una Mano
492,Peter Fajta,21,80,HUN,/es/players/peter-fajta/f0dp/overview,f0dp,185cm,2002.05.23,81Kg,,Diestro,Dos Manos
491,Gabriele Piraino,19,80,ITA,/es/players/gabriele-piraino/p0i6/overview,p0i6,188cm,2003.11.12,78Kg,,Zurdo,Desconocido
490,Alex Rybakov,26,80,USA,/es/players/alex-rybakov/rg42/overview,rg42,185cm,1997.01.27,77Kg,"Plainview, New York",Zurdo,Una Mano
489,Leonardo Aboian,25,81,ARG,/es/players/leonardo-aboian/ag57/overview,ag57,175cm,1998.04.20,73Kg,,Zurdo,Dos Manos
485,Orlando Luz,25,83,BRA,/es/players/orlando-luz/lf26/overview,lf26,180cm,1998.02.08,78Kg,"Carazinho, Brazil",Diestro,Dos Manos
484,Ben Patael,26,83,ISR,/es/players/ben-patael/fb18/overview,fb18,188cm,1997.06.02,80Kg,,Diestro,Dos Manos
483,Stefanos Sakellaridis,18,84,GRE,/es/players/stefanos-sakellaridis/s0kt/overview,s0kt,198cm,2004.09.13,83Kg,,Diestro,Dos Manos
482,Gonzalo Villanueva,28,84,ARG,/es/players/gonzalo-villanueva/v821/overview,v821,175cm,1995.01.13,70Kg,,Diestro,Dos Manos
481,Alfredo Perez,26,84,USA,/es/players/alfredo-perez/pl39/overview,pl39,193cm,1997.05.22,79Kg,,Diestro,Dos Manos
476,Ezekiel Clark,24,85,USA,/es/players/ezekiel-clark/co07/overview,co07,170cm,1998.07.19,70Kg,,Diestro,Dos Manos
475,Marcello Serafini,20,85,ITA,/es/players/marcello-serafini/s0rf/overview,s0rf,188cm,2002.08.25,90Kg,,Diestro,Dos Manos
474,Facundo Juarez,25,85,ITA,/es/players/facundo-juarez/j737/overview,j737,180cm,1997.09.23,72Kg,,Diestro,Dos Manos
473,Arthur Weber,31,85,FRA,/es/players/arthur-weber/w0a4/overview,w0a4,185cm,1992.05.09,77Kg,,Zurdo,Dos Manos
472,Sebastian Gima,21,86,ROU,/es/players/sebastian-gima/g0eq/overview,g0eq,0cm,2002.05.17,75Kg,,Zurdo,Dos Manos
471,Valerio Aboian,21,86,ARG,/es/players/valerio-aboian/a0g7/overview,a0g7,183cm,2002.06.14,73Kg,,Zurdo,Dos Manos
468,August Holmgren,25,87,DEN,/es/players/august-holmgren/h09n/overview,h09n,188cm,1998.04.22,84Kg,,Diestro,Una Mano
466,Enrico Dalla Valle,25,88,ITA,/es/players/enrico-dalla-valle/dg80/overview,dg80,196cm,1998.03.21,90Kg,,Diestro,Dos Manos
465,Naoki Nakagawa,26,88,JPN,/es/players/naoki-nakagawa/n707/overview,n707,180cm,1996.11.19,75Kg,,Diestro,Dos Manos
464,Tristan Lamasine,30,89,FRA,/es/players/tristan-lamasine/lc11/overview,lc11,183cm,1993.03.05,69Kg,,Diestro,Dos Manos
463,Daniel Merida Aguilar,18,89,ESP,/es/players/daniel-merida-aguilar/m0n7/overview,m0n7,188cm,2004.09.26,80Kg,,Diestro,Dos Manos
462,Adria Soriano Barrera,24,89,COL,/es/players/adria-soriano-barrera/s0bt/overview,s0bt,191cm,1999.06.02,82Kg,,Diestro,Dos Manos
461,Jorge Panta,27,90,PER,/es/players/jorge-panta/pg56/overview,pg56,3cm,1995.07.22,76Kg,"Piura, Peru",Diestro,Dos Manos
460,Feliciano López,41,90,ESP,/es/players/feliciano-lópez/l397/overview,l397,188cm,1981.09.20,88Kg,Toledo España,Zurdo,Una Mano
458,Alexander Cozbinov,28,92,MDA,/es/players/alexander-cozbinov/cj60/overview,cj60,188cm,1995.04.28,80Kg,,Diestro,Dos Manos
457,Prajnesh Gunneswaran,33,92,IND,/es/players/prajnesh-gunneswaran/ga94/overview,ga94,188cm,1989.11.12,80Kg,"Chennai, India",Zurdo,Dos Manos
456,Elliot Benchetrit,24,92,MAR,/es/players/elliot-benchetrit/bt68/overview,bt68,193cm,1998.10.02,88Kg,,Diestro,Dos Manos
455,Paul Jubb,23,92,GBR,/es/players/paul-jubb/j0a4/overview,j0a4,180cm,1999.10.31,72Kg,,Diestro,Dos Manos
454,Jose (Rubin) Statham,36,93,NZL,/es/players/jose-(rubin)-statham/sf89/overview,sf89,180cm,1987.04.25,83Kg,"Auckland, New Zealand",Diestro,Dos Manos
453,Sandro Kopp,23,93,AUT,/es/players/sandro-kopp/k0cj/overview,k0cj,185cm,2000.05.26,76Kg,,Diestro,Dos Manos
452,Federico Arnaboldi,23,93,ITA,/es/players/federico-arnaboldi/a0ba/overview,a0ba,185cm,2000.06.18,78Kg,,Diestro,Dos Manos
451,Aidan Mayo,20,93,USA,/es/players/aidan-mayo/m0nb/overview,m0nb,183cm,2003.05.14,75Kg,,Diestro,Desconocido
450,Jay Clarke,24,93,GBR,/es/players/jay-clarke/ci14/overview,ci14,183cm,1998.07.27,83Kg,,Diestro,Dos Manos
449,Julian Ocleppo,25,93,ITA,/es/players/julian-ocleppo/o507/overview,o507,191cm,1997.08.01,90Kg,,Diestro,Dos Manos
448,Kris Van Wyk,26,94,RSA,/es/players/kris-van-wyk/va23/overview,va23,185cm,1996.09.29,78Kg,,Diestro,Dos Manos
446,Lucas Catarina,26,95,MON,/es/players/lucas-catarina/cn78/overview,cn78,185cm,1996.08.26,80Kg,,Diestro,Dos Manos
445,Carlos Lopez Montagud,22,95,ESP,/es/players/carlos-lopez-montagud/l0c1/overview,l0c1,180cm,2000.07.06,77Kg,,Diestro,Dos Manos
444,Robin Bertrand,20,96,FRA,/es/players/robin-bertrand/b0jj/overview,b0jj,178cm,2003.03.15,70Kg,,Diestro,Desconocido
443,Mohamed Safwat,32,97,EGY,/es/players/mohamed-safwat/sk47/overview,sk47,180cm,1990.09.19,83Kg,El Mansoura,Diestro,Dos Manos
441,Leo Borg,20,99,SWE,/es/players/leo-borg/b0jg/overview,b0jg,183cm,2003.05.15,77Kg,,Diestro,Dos Manos
440,Hady Habib,24,99,LIB,/es/players/hady-habib/hf80/overview,hf80,188cm,1998.08.21,88Kg,,Diestro,Dos Manos
439,Ajeet Rai,24,99,NZL,/es/players/ajeet-rai/r0dc/overview,r0dc,188cm,1999.01.18,72Kg,,Diestro,Dos Manos
438,David Jorda Sanchis,29,100,ESP,/es/players/david-jorda-sanchis/j476/overview,j476,196cm,1994.06.14,86Kg,,Diestro,Dos Manos
437,Giovanni Oradini,25,100,ITA,/es/players/giovanni-oradini/o639/overview,o639,188cm,1997.09.14,85Kg,,Zurdo,Desconocido
436,Eric Vanshelboim,21,100,UKR,/es/players/eric-vanshelboim/v0d4/overview,v0d4,188cm,2001.07.15,87Kg,,Diestro,Una Mano
435,Ergi Kirkin,24,100,TUR,/es/players/ergi-kirkin/ki48/overview,ki48,180cm,1999.01.27,75Kg,,Diestro,Dos Manos
434,Saba Purtseladze,21,101,GEO,/es/players/saba-purtseladze/p0ea/overview,p0ea,191cm,2001.08.20,91Kg,,Diestro,Dos Manos
431,Andrey Chepelev,24,102,RUS,/es/players/andrey-chepelev/co01/overview,co01,178cm,1998.08.02,76Kg,,Zurdo,Dos Manos
430,Matias Franco Descotte,28,102,ARG,/es/players/matias-franco-descotte/db93/overview,db93,191cm,1994.08.29,87Kg,,Diestro,Dos Manos
429,Stuart Parker,25,103,GBR,/es/players/stuart-parker/p0bk/overview,p0bk,185cm,1997.07.30,78Kg,,Diestro,Dos Manos
428,Andrew Paulson,21,103,CZE,/es/players/andrew-paulson/p0ev/overview,p0ev,191cm,2001.11.16,85Kg,,Diestro,Dos Manos
427,Kyle Edmund,28,103,GBR,/es/players/kyle-edmund/e831/overview,e831,188cm,1995.01.08,83Kg,"Johannesburgo, Sudáfrica",Diestro,Dos Manos
426,Daniel Cox,32,104,GBR,/es/players/daniel-cox/cb14/overview,cb14,170cm,1990.09.28,68Kg,"Lincoln, Gran Breta�a",Diestro,Dos Manos
425,Gabriel Decamps,23,104,BRA,/es/players/gabriel-decamps/dg53/overview,dg53,193cm,1999.08.07,80Kg,,Diestro,Dos Manos
424,Jacopo Berrettini,24,104,ITA,/es/players/jacopo-berrettini/bu10/overview,bu10,193cm,1998.11.27,90Kg,,Diestro,Dos Manos
423,Samuel Vincent Ruggeri,21,105,ITA,/es/players/samuel-vincent-ruggeri/v0di/overview,v0di,191cm,2002.05.22,85Kg,,Diestro,Dos Manos
422,Gabriel Debru,17,105,FRA,/es/players/gabriel-debru/d0hd/overview,d0hd,193cm,2005.12.21,78Kg,,Diestro,Dos Manos
421,Gonzalo Lama,30,106,CHI,/es/players/gonzalo-lama/lb07/overview,lb07,180cm,1993.04.27,82Kg,"Santiago, Chile",Diestro,Dos Manos
420,Timo Legout,21,106,FRA,/es/players/timo-legout/l0er/overview,l0er,178cm,2002.03.13,73Kg,,Diestro,Dos Manos
419,Damien Wenger,23,107,SUI,/es/players/damien-wenger/w09b/overview,w09b,173cm,2000.03.17,68Kg,,Diestro,Dos Manos
418,Pedro Boscardin Dias,20,109,BRA,/es/players/pedro-boscardin-dias/b0fi/overview,b0fi,180cm,2003.01.28,75Kg,,Diestro,Dos Manos
415,Daniel Dutra da Silva,34,111,BRA,/es/players/daniel-dutra-da-silva/sg56/overview,sg56,173cm,1988.07.05,75Kg,"Sao Paulo, Brazil",Zurdo,Dos Manos
414,Gianmarco Ferrari,22,111,ITA,/es/players/gianmarco-ferrari/f0cj/overview,f0cj,191cm,2000.10.04,88Kg,,Zurdo,Dos Manos
411,Oleksandr Ovcharenko,21,111,UKR,/es/players/oleksandr-ovcharenko/o0be/overview,o0be,185cm,2001.10.17,81Kg,,Diestro,Dos Manos
408,Ernests Gulbis,34,112,LAT,/es/players/ernests-gulbis/g858/overview,g858,191cm,1988.08.30,85Kg,"Riga, Letonia",Diestro,Dos Manos
407,Vladyslav Orlov,28,113,UKR,/es/players/vladyslav-orlov/o659/overview,o659,188cm,1995.05.17,78Kg,,Diestro,Dos Manos
405,Cezar Cretu,22,114,ROU,/es/players/cezar-cretu/c0b2/overview,c0b2,188cm,2001.04.24,83Kg,,Diestro,Dos Manos
403,Ulises Blanch,25,115,USA,/es/players/ulises-blanch/bv27/overview,bv27,188cm,1998.03.25,78Kg,,Diestro,Dos Manos
402,Akira Santillan,26,116,AUS,/es/players/akira-santillan/sq80/overview,sq80,180cm,1997.05.22,78Kg,"Tokio, Japón",Diestro,Una Mano
399,Ernesto Escobedo,26,116,MEX,/es/players/ernesto-escobedo/e873/overview,e873,185cm,1996.07.04,82Kg,"Los Angeles, CA, USA",Diestro,Dos Manos
397,Robert Strombachs,23,117,LAT,/es/players/robert-strombachs/s0gv/overview,s0gv,191cm,1999.09.15,78Kg,,Diestro,Desconocido
396,Nikola Milojevic,28,117,SRB,/es/players/nikola-milojevic/mm66/overview,mm66,188cm,1995.06.19,76Kg,"Belgrade, Serbia",Diestro,Dos Manos
395,Gonzalo Bueno,19,118,PER,/es/players/gonzalo-bueno/b0gr/overview,b0gr,173cm,2004.04.03,73Kg,,Diestro,Dos Manos
394,Eliakim Coulibaly,21,118,CIV,/es/players/eliakim-coulibaly/c0hb/overview,c0hb,183cm,2002.05.05,80Kg,,Zurdo,Dos Manos
392,Nathan Ponwith,25,118,USA,/es/players/nathan-ponwith/ph67/overview,ph67,188cm,1998.04.20,79Kg,,Diestro,Dos Manos
391,Arthur Fery,20,118,GBR,/es/players/arthur-fery/f0dm/overview,f0dm,173cm,2002.07.12,75Kg,,Diestro,Dos Manos
390,Stefano Napolitano,28,118,ITA,/es/players/stefano-napolitano/n679/overview,n679,196cm,1995.04.11,90Kg,"Biella, Italy",Diestro,Dos Manos
389,Stefan Kozlov,25,119,USA,/es/players/stefan-kozlov/ke64/overview,ke64,183cm,1998.02.01,79Kg,"Skopje, Macedonia",Diestro,Dos Manos
388,Lucas Pouille,29,119,FRA,/es/players/lucas-pouille/pf39/overview,pf39,185cm,1994.02.23,84Kg,"Grande-Synthe, Francia",Diestro,Dos Manos
387,Strong Kirchheimer,28,121,USA,/es/players/strong-kirchheimer/kg27/overview,kg27,185cm,1995.04.26,79Kg,,Diestro,Desconocido
386,Kenny De Schepper,36,121,FRA,/es/players/kenny-de-schepper/d750/overview,d750,203cm,1987.05.29,100Kg,"Burdeos, Francia",Zurdo,Una Mano
385,Sasi Kumar Mukund,26,122,IND,/es/players/sasi-kumar-mukund/mp13/overview,mp13,185cm,1997.01.14,78Kg,,Diestro,Dos Manos
384,Omni Kumar,21,122,USA,/es/players/omni-kumar/k0ee/overview,k0ee,175cm,2001.10.10,73Kg,,Zurdo,Desconocido
383,Alexey Vatutin,30,122,RUS,/es/players/alexey-vatutin/v717/overview,v717,178cm,1992.10.27,69Kg,,Diestro,Dos Manos
382,Cedrik-Marcel Stebe,32,122,GER,/es/players/cedrik-marcel-stebe/sk94/overview,sk94,180cm,1990.10.09,70Kg,"Muehlacker, Germany",Zurdo,Dos Manos
381,Colin Sinclair,28,124,NMI,/es/players/colin-sinclair/sq79/overview,sq79,188cm,1994.12.19,82Kg,,Diestro,Dos Manos
380,Clement Chidekh,22,125,FRA,/es/players/clement-chidekh/c0bh/overview,c0bh,180cm,2001.06.13,75Kg,,Diestro,Dos Manos
379,Robin Haase,36,125,NED,/es/players/robin-haase/h756/overview,h756,191cm,1987.04.06,77Kg,"La Haya, Holanda",Diestro,Dos Manos
378,Alastair Gray,25,126,GBR,/es/players/alastair-gray/g0ao/overview,g0ao,193cm,1998.06.22,83Kg,,Diestro,Una Mano
377,Charles Broom,25,127,GBR,/es/players/charles-broom/bv21/overview,bv21,178cm,1998.04.24,82Kg,,Diestro,Dos Manos
376,Luke Saville,29,127,AUS,/es/players/luke-saville/sm09/overview,sm09,188cm,1994.01.02,83Kg,"Barmera, Australia",Diestro,Dos Manos
373,Alex Marti Pujolras,24,128,ESP,/es/players/alex-marti-pujolras/m0ey/overview,m0ey,185cm,1999.02.10,73Kg,,Diestro,Dos Manos
372,Jack Sock,30,128,USA,/es/players/jack-sock/sm25/overview,sm25,191cm,1992.09.24,88Kg,"Lincoln, Nebraska, USA",Diestro,Dos Manos
371,George Loffhagen,22,130,GBR,/es/players/george-loffhagen/l0cf/overview,l0cf,188cm,2001.04.19,83Kg,,Diestro,Dos Manos
370,Kalin Ivanovski,19,131,MKD,/es/players/kalin-ivanovski/i0ap/overview,i0ap,196cm,2004.05.11,85Kg,,Diestro,Dos Manos
368,Maxime Chazal,30,132,FRA,/es/players/maxime-chazal/cd00/overview,cd00,175cm,1993.04.24,72Kg,,Diestro,Una Mano
367,Lucas Poullain,27,132,FRA,/es/players/lucas-poullain/pj74/overview,pj74,175cm,1995.12.05,68Kg,,Diestro,Dos Manos
365,Karl Friberg,24,134,SWE,/es/players/karl-friberg/f09j/overview,f09j,191cm,1999.03.25,85Kg,,Diestro,Dos Manos
363,Remy Bertola,24,135,SUI,/es/players/remy-bertola/bu70/overview,bu70,175cm,1998.08.31,75Kg,,Diestro,Una Mano
362,Calvin Hemery,28,135,FRA,/es/players/calvin-hemery/hb48/overview,hb48,191cm,1995.01.28,83Kg,"Les Lilas, France",Diestro,Dos Manos
360,Pablo Andújar,37,136,ESP,/es/players/pablo-andújar/a596/overview,a596,180cm,1986.01.23,80Kg,"Cuenca, España",Diestro,Dos Manos
359,Gerald Melzer,32,137,AUT,/es/players/gerald-melzer/mi43/overview,mi43,188cm,1990.07.13,80Kg,Viena,Zurdo,Dos Manos
358,Filip Peliwo,29,138,POL,/es/players/filip-peliwo/pf65/overview,pf65,180cm,1994.01.30,76Kg,"Vancouver, Canada",Diestro,Dos Manos
357,Sascha Gueymard Wayenburg,19,138,FRA,/es/players/sascha-gueymard-wayenburg/g0gw/overview,g0gw,188cm,2003.08.01,80Kg,,Diestro,Dos Manos
356,Duje Ajdukovic,22,138,CRO,/es/players/duje-ajdukovic/a0cj/overview,a0cj,188cm,2001.02.05,78Kg,,Diestro,Dos Manos
355,Carlos Taberner,25,139,ESP,/es/players/carlos-taberner/te16/overview,te16,183cm,1997.08.08,78Kg,Valencia España,Diestro,Dos Manos
353,Bernard Tomic,30,140,AUS,/es/players/bernard-tomic/ta46/overview,ta46,196cm,1992.10.21,91Kg,"Stuttgart, Alemania",Diestro,Dos Manos
352,Fernando Verdasco,39,140,ESP,/es/players/fernando-verdasco/v306/overview,v306,188cm,1983.11.15,90Kg,Madrid España,Zurdo,Dos Manos
350,Jerome Kym,20,142,SUI,/es/players/jerome-kym/k0ep/overview,k0ep,198cm,2003.02.12,87Kg,,Diestro,Dos Manos
349,Gastao Elias,32,144,POR,/es/players/gastao-elias/e698/overview,e698,180cm,1990.11.24,76Kg,"Lourinhã, Portugal",Diestro,Dos Manos
348,Billy Harris,28,145,GBR,/es/players/billy-harris/hd68/overview,hd68,193cm,1995.01.25,86Kg,,Diestro,Dos Manos
346,Dmitry Popko,26,146,KAZ,/es/players/dmitry-popko/pg20/overview,pg20,191cm,1996.10.24,87Kg,,Diestro,Dos Manos
345,Alex Bolt,30,146,AUS,/es/players/alex-bolt/bi81/overview,bi81,183cm,1993.01.05,84Kg,"Murray Bridge, Australia",Zurdo,Dos Manos
344,Manuel Guinard,27,147,FRA,/es/players/manuel-guinard/gh33/overview,gh33,198cm,1995.11.15,82Kg,,Diestro,Dos Manos
343,Viktor Durasovic,26,147,NOR,/es/players/viktor-durasovic/dc76/overview,dc76,185cm,1997.03.19,80Kg,,Diestro,Dos Manos
341,Christian Langmo,27,150,USA,/es/players/christian-langmo/li10/overview,li10,191cm,1996.06.01,91Kg,,Diestro,Dos Manos
340,Javier Barranco Cosano,24,150,ESP,/es/players/javier-barranco-cosano/bv25/overview,bv25,178cm,1998.11.17,70Kg,,Zurdo,Dos Manos
338,Illya Marchenko,35,152,UKR,/es/players/illya-marchenko/me89/overview,me89,185cm,1987.09.08,87Kg,"Dneprodzerzhinsk, Ucrania",Diestro,Dos Manos
337,Gustavo Heide,21,152,BRA,/es/players/gustavo-heide/h0du/overview,h0du,188cm,2002.02.28,73Kg,,Diestro,Dos Manos
335,Antonie Hoang,27,156,FRA,/es/players/antonie-hoang/ha71/overview,ha71,183cm,1995.11.04,76Kg,HyFres,Diestro,Dos Manos
333,Francesco Forti,23,157,ITA,/es/players/francesco-forti/f0a4/overview,f0a4,188cm,1999.07.26,80Kg,,Diestro,Dos Manos
332,Pol Martin Tiffon,23,157,ESP,/es/players/pol-martin-tiffon/m0ea/overview,m0ea,183cm,1999.07.30,73Kg,,Diestro,Dos Manos
331,Lucas Gerch,28,157,GER,/es/players/lucas-gerch/gf23/overview,gf23,193cm,1994.12.20,86Kg,,Zurdo,Desconocido
327,Alexandar Lazarov,25,158,BUL,/es/players/alexandar-lazarov/li39/overview,li39,191cm,1997.11.06,84Kg,,Diestro,Una Mano
326,Tristan Schoolkate,22,159,AUS,/es/players/tristan-schoolkate/s0n0/overview,s0n0,183cm,2001.02.26,87Kg,,Diestro,Desconocido
324,Denis Yevseyev,30,160,KAZ,/es/players/denis-yevseyev/y171/overview,y171,185cm,1993.05.22,81Kg,,Diestro,Dos Manos
323,Nikoloz Basilashvili,31,161,GEO,/es/players/nikoloz-basilashvili/bg23/overview,bg23,185cm,1992.02.23,79Kg,"Tbilisi, Georgia",Diestro,Dos Manos
322,Gilles Simon,38,161,FRA,/es/players/gilles-simon/sd32/overview,sd32,183cm,1984.12.27,70Kg,"Niza, Francia",Diestro,Dos Manos
321,Alexander Weis,26,162,ITA,/es/players/alexander-weis/wb19/overview,wb19,188cm,1997.04.24,83Kg,,Diestro,Dos Manos
320,Eduardo Ribeiro,25,162,BRA,/es/players/eduardo-ribeiro/r09v/overview,r09v,178cm,1998.03.17,75Kg,,Diestro,Dos Manos
319,Peter Gojowczyk,33,162,GER,/es/players/peter-gojowczyk/g967/overview,g967,188cm,1989.07.15,83Kg,"Múnich, Alemania",Diestro,Dos Manos
318,Gael Monfils,36,162,FRA,/es/players/gael-monfils/mc65/overview,mc65,193cm,1986.09.01,85Kg,"París, Francia",Diestro,Dos Manos
317,Joao Sousa,34,163,POR,/es/players/joao-sousa/sh90/overview,sh90,185cm,1989.03.30,74Kg,"Guimaraes, Portugal",Diestro,Dos Manos
316,Nam Hoang Ly,26,164,VIE,/es/players/nam-hoang-ly/ld22/overview,ld22,175cm,1997.02.25,69Kg,,Diestro,Dos Manos
315,Mathias Bourgue,29,167,FRA,/es/players/mathias-bourgue/bk19/overview,bk19,188cm,1994.01.18,83Kg,"Avignon, France",Diestro,Dos Manos
314,Nicolas Alvarez Varona,22,168,ESP,/es/players/nicolas-alvarez-varona/a09u/overview,a09u,188cm,2001.05.18,83Kg,,Diestro,Dos Manos
313,Yunseong Chung,25,169,KOR,/es/players/yunseong-chung/ch90/overview,ch90,178cm,1998.03.27,78Kg,"Seoul, Korea",Diestro,Dos Manos
312,Filip Cristian Jianu,21,170,ROU,/es/players/filip-cristian-jianu/j09x/overview,j09x,180cm,2001.09.18,78Kg,,Diestro,Dos Manos
311,Henri Squire,22,170,GER,/es/players/henri-squire/s0ak/overview,s0ak,196cm,2000.09.27,82Kg,,Diestro,Dos Manos
310,Juan Bautista Torres,21,170,ARG,/es/players/juan-bautista-torres/t0dm/overview,t0dm,178cm,2002.04.02,73Kg,,Diestro,Dos Manos
309,Maxime Janvier,26,170,FRA,/es/players/maxime-janvier/j620/overview,j620,196cm,1996.10.18,85Kg,,Diestro,Dos Manos
308,Guido Pella,33,170,ARG,/es/players/guido-pella/pc11/overview,pc11,183cm,1990.05.17,79Kg,"Bahía Blanca, Argentina",Zurdo,Dos Manos
307,Evan Furness,24,171,FRA,/es/players/evan-furness/fc26/overview,fc26,173cm,1998.08.13,66Kg,,Diestro,Dos Manos
304,Alibek Kachmazov,20,176,RUS,/es/players/alibek-kachmazov/k0e6/overview,k0e6,185cm,2002.08.17,78Kg,,Diestro,Desconocido
303,Ugo Blanchet,24,178,FRA,/es/players/ugo-blanchet/bv16/overview,bv16,175cm,1999.01.05,68Kg,,Diestro,Dos Manos
300,Hiroki Moriya,32,179,JPN,/es/players/hiroki-moriya/mi01/overview,mi01,168cm,1990.10.16,65Kg,"Tokio, Jap�n",Diestro,Dos Manos
299,Dino Prizmic,17,179,CRO,/es/players/dino-prizmic/p0hw/overview,p0hw,188cm,2005.08.05,80Kg,,Diestro,Dos Manos
298,Goncalo Oliveira,28,180,POR,/es/players/goncalo-oliveira/o482/overview,o482,185cm,1995.02.17,79Kg,,Zurdo,Dos Manos
296,Antoine Bellier,26,181,SUI,/es/players/antoine-bellier/bp41/overview,bp41,196cm,1996.10.18,83Kg,,Zurdo,Una Mano
295,Valentin Royer,22,182,FRA,/es/players/valentin-royer/r0eb/overview,r0eb,188cm,2001.05.29,86Kg,,Diestro,Dos Manos
293,Dominik Palan,22,184,CZE,/es/players/dominik-palan/p0e9/overview,p0e9,191cm,2000.09.30,85Kg,,Diestro,Dos Manos
292,John Millman,34,184,AUS,/es/players/john-millman/mh30/overview,mh30,183cm,1989.06.14,79Kg,"Brisbane, Australia",Diestro,Dos Manos
291,Giovanni Fonio,25,185,ITA,/es/players/giovanni-fonio/fc49/overview,fc49,183cm,1998.05.07,78Kg,,Diestro,Una Mano
290,Maks Kasnikowski,19,185,POL,/es/players/maks-kasnikowski/k0hc/overview,k0hc,180cm,2003.07.06,78Kg,,Diestro,Dos Manos
289,Jason Jung,34,185,TPE,/es/players/jason-jung/j380/overview,j380,180cm,1989.06.15,69Kg,"Torrance, CA, USA",Diestro,Dos Manos
288,Joao Lucas Reis Da Silva,23,186,BRA,/es/players/joao-lucas-reis-da-silva/r0a7/overview,r0a7,178cm,2000.03.26,75Kg,,Diestro,Dos Manos
287,Elmar Ejupovic,30,188,GER,/es/players/elmar-ejupovic/e811/overview,e811,193cm,1993.02.01,90Kg,,Diestro,Una Mano
286,Omar Jasika,26,189,AUS,/es/players/omar-jasika/j553/overview,j553,183cm,1997.05.18,60Kg,"Clarinda, Victoria, Australia",Zurdo,Dos Manos
285,Alvaro Lopez San Martin,26,190,ESP,/es/players/alvaro-lopez-san-martin/lf29/overview,lf29,178cm,1997.06.02,70Kg,,Diestro,Dos Manos
284,Max Houkes,22,191,NED,/es/players/max-houkes/h0cx/overview,h0cx,188cm,2000.07.03,78Kg,,Zurdo,Dos Manos
283,Miljan Zekic,34,191,SRB,/es/players/miljan-zekic/z246/overview,z246,185cm,1988.07.12,79Kg,,Diestro,Dos Manos
282,Nino Serdarusic,26,192,CRO,/es/players/nino-serdarusic/sp80/overview,sp80,191cm,1996.12.13,85Kg,,Diestro,Dos Manos
